Respondent_Serial,brand,OSAT,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Has a wide range of ingredients,Portions are the right size for my appetite,Is worth the price,Is a good value for the money,Has enticing promotional offers,Ordering is simple and easy,Integrates technology into its ordering process,Restaurant is clean,Ingredients are fresh,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,State,sales,Total subs sold in a year,Payment Used,Wait Time
3844,Jersey Mikes,6,5,5,7,5,4,6,6,7,5,6,6,7,6,6,Texas,9852.790501,303052.0222,Google Pay,5
3847,Jersey Mikes,7,7,6,7,6,6,7,7,7,6,7,7,7,6,7,Vermont,9430.749712,994544.0886,Cash,8
3861,Chipotle,5,4,3,4,3,3,4,4,6,4,3,6,3,3,5,Wisconsin,495.1908608,642890.9969,Samsung Pay,5
3861,McDonalds,6,5,3,4,3,5,3,4,4,3,5,4,4,3,4,Wyoming,5433.754698,818029.4539,Samsung Pay,10
3868,Jimmy Johns,7,7,7,7,7,7,7,3,7,7,5,7,7,7,7,Alabama,575.4117949,250791.8376,Samsung Pay,9
3868,McDonalds,5,6,4,6,6,6,5,5,6,6,5,5,6,4,6,Alaska,8333.181176,352912.8486,Apple Pay,8
3869,Subway,7,6,7,6,7,7,7,7,7,6,7,6,7,7,7,Arizona,9257.720719,960307.4962,Samsung Pay,15
3869,Jimmy Johns,7,6,7,5,6,6,7,6,6,6,7,7,7,6,6,Arkansas,4620.201988,378486.0865,Credit Card,8
3876,Subway,6,6,6,6,6,7,6,7,6,7,6,6,6,6,7,Connecticut,3916.257247,883477.5731,Cash,10
3876,Jersey Mikes,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,Delaware,9269.216543,836490.0366,Apple Pay,14
3890,Chipotle,3,6,6,6,5,2,2,5,4,5,5,6,6,6,7,Georgia,870.5249965,573303.0939,Debit Card,6
3890,Jersey Mikes,7,7,6,7,6,6,5,5,6,4,5,7,6,7,5,Hawaii,247.5230998,954054.6296,Credit Card,8
3903,Jersey Mikes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Idaho,5123.271731,560523.6792,Credit Card,10
3903,Panera,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,Illinois,8133.063111,501923.6577,Google Pay,12
3912,Chipotle,6,7,7,6,7,6,6,5,7,6,7,7,6,6,6,Indiana,5312.084691,125537.9759,Samsung Pay,10
3912,Firehouse Subs,5,6,5,6,6,5,6,6,5,5,5,5,5,5,5,Iowa,4178.084053,174761.9368,Credit Card,15
3923,Panera,3,3,3,2,4,1,4,1,5,3,4,3,4,5,7,Maine,4783.26595,335040.5199,Apple Pay,10
3926,Firehouse Subs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Maryland,4752.511939,174288.7095,Cash,14
3926,Jersey Mikes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Massachusetts,127.9788194,907348.9989,Google Pay,10
3929,Firehouse Subs,5,6,7,5,6,7,6,6,6,6,7,7,5,6,5,Michigan,938.6049755,691312.2516,Google Pay,14
3929,Jimmy Johns,6,5,5,6,7,6,5,5,6,5,6,6,4,7,5,Minnesota,2458.494721,249480.2012,Debit Card,8
3930,Subway,6,6,6,6,6,7,6,7,6,6,7,7,6,7,7,Mississippi,6813.313646,781749.7078,Debit Card,7
3930,Firehouse Subs,5,6,6,6,5,7,6,5,5,6,6,6,7,7,7,Missouri,4250.155451,247616.3888,Cash,5
3941,Subway,6,7,7,7,6,6,7,6,7,7,6,7,7,7,7,Montana,3773.716067,217960.6424,Cash,14
3941,Panera,6,7,7,7,4,4,4,3,5,6,6,7,6,6,7,Nebraska,811.820143,827527.8974,Google Pay,5
3952,Firehouse Subs,6,7,7,7,7,6,7,7,6,6,6,6,6,7,6,Nevada,8601.355406,86287.75333,Apple Pay,5
3952,Jersey Mikes,6,7,7,7,7,7,6,7,7,6,7,6,7,6,6,New Hampshire,2899.655683,87176.66294,Cash,6
3970,Subway,6,7,7,7,6,7,7,7,7,7,7,6,7,6,7,New York,4611.166533,193823.6906,Google Pay,12
3973,Chipotle,3,4,5,4,3,1,3,4,5,5,4,4,4,4,4,North Dakota,988.551926,239922.6821,Credit Card,7
3978,Panera,6,6,7,5,6,7,5,6,5,6,6,6,7,6,7,Oregon,7367.010644,650687.2664,Apple Pay,11
3987,Chipotle,6,7,6,7,5,7,6,6,6,5,6,5,6,5,6,Pennsylvania,6656.479267,14068.59219,Cash,7
3987,Panera,6,6,6,7,5,6,6,7,6,7,7,5,6,7,7,Rhode Island,9252.128488,51643.47422,Google Pay,11
3994,Subway,6,5,5,5,4,5,5,5,5,6,4,4,5,5,7,South Carolina,579.2355629,14235.22128,Cash,9
3997,Subway,5,4,3,5,5,5,6,6,5,5,7,6,6,4,4,Tennessee,240.9871773,46422.12904,Cash,5
3997,Firehouse Subs,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,Texas,2807.031296,232188.6146,Apple Pay,5
4008,McDonalds,6,4,2,4,4,5,5,4,6,4,4,5,5,4,4,Utah,9428.611576,656972.2249,Cash,7
4008,Panera,6,5,5,5,5,5,5,5,6,4,5,6,5,5,6,Vermont,6615.895893,433371.0728,Apple Pay,11
4017,Subway,5,3,2,1,7,1,1,4,7,1,1,2,1,2,2,Virginia,4558.341671,803210.6835,Apple Pay,13
4017,McDonalds,4,5,2,2,4,2,2,4,7,3,5,1,1,2,1,Washington,6837.370413,810040.5574,Google Pay,12
4037,Chipotle,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,Wyoming,9243.76032,904029.2306,Credit Card,6
4037,Panera,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,Alabama,3831.524366,97632.4856,Samsung Pay,8
4049,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Arizona,4097.189865,529602.7158,Samsung Pay,15
4049,Panera,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Arkansas,2650.236545,162433.1689,Credit Card,6
4073,Firehouse Subs,6,5,7,4,6,5,2,6,6,6,7,4,7,5,5,Connecticut,102.1410822,33499.43633,Apple Pay,9
4074,Chipotle,6,7,7,6,6,7,7,6,6,5,7,7,7,6,7,Florida,5753.336048,544945.8934,Samsung Pay,14
4074,Jimmy Johns,6,7,6,6,7,6,7,6,7,6,6,6,7,7,7,Georgia,3591.845023,800457.3115,Google Pay,10
4087,Subway,6,3,4,4,6,4,4,3,6,4,4,4,6,6,7,Iowa,6241.482785,728599.2369,Samsung Pay,8
4087,Jimmy Johns,4,5,4,3,5,1,1,4,6,5,4,4,6,6,6,Kansas,4323.192046,938008.3087,Samsung Pay,12
4097,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Massachusetts,2439.909167,787354.8675,Samsung Pay,12
4097,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Michigan,5987.459613,620493.3161,Credit Card,8
4099,Chipotle,6,6,6,6,6,5,7,7,6,7,5,6,6,6,7,Minnesota,3691.058281,220750.662,Cash,11
4099,Jimmy Johns,6,6,6,6,6,6,6,7,5,6,6,7,7,6,6,Mississippi,4677.425484,899642.9941,Samsung Pay,9
4101,Chipotle,6,7,6,6,6,7,7,7,7,7,6,7,5,6,7,Missouri,8701.966784,518066.2952,Cash,8
4101,Panera,5,7,6,7,7,7,7,7,7,7,5,7,7,7,7,Montana,6356.821601,115429.5157,Credit Card,15
4107,Firehouse Subs,5,5,5,5,4,4,4,5,5,4,5,4,4,4,5,Nebraska,6424.114504,90802.91844,Google Pay,11
4107,Panera,5,5,5,5,5,5,5,5,6,5,5,5,6,5,5,Nevada,9660.393977,479940.9312,Apple Pay,6
4120,Subway,4,4,4,4,4,4,3,4,5,4,5,4,4,4,4,New Hampshire,5800.347871,210137.3063,Cash,14
4120,McDonalds,3,3,3,3,2,2,2,3,3,3,2,2,2,2,3,New Jersey,2105.746593,198657.1614,Samsung Pay,7
4122,McDonalds,6,6,6,6,6,4,4,5,6,6,6,6,6,6,6,New York,1890.722967,134172.5448,Debit Card,7
4123,Firehouse Subs,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,North Carolina,7639.556131,609267.86,Samsung Pay,14
4123,Jersey Mikes,6,7,7,7,6,7,7,7,7,7,7,6,7,6,7,North Dakota,19.71383263,654627.4186,Cash,5
4173,McDonalds,7,6,7,5,5,7,5,6,7,6,7,7,7,7,5,Virginia,2613.52832,872677.4288,Samsung Pay,11
4176,Jimmy Johns,5,3,4,5,3,3,4,5,3,3,2,4,6,4,5,Washington,7620.623032,766586.3395,Cash,5
4176,Panera,5,2,4,3,2,2,2,3,3,3,3,3,4,3,2,West Virginia,6352.98688,891066.8102,Samsung Pay,11
4179,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Wisconsin,3495.090428,172202.692,Debit Card,15
4179,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Wyoming,1682.534038,543176.8818,Cash,13
4181,Firehouse Subs,4,6,5,5,6,5,6,5,5,5,6,5,5,4,5,Alabama,3565.804873,11116.68523,Cash,7
4181,McDonalds,7,6,7,7,6,6,7,6,6,6,7,7,7,7,7,Alaska,8432.152567,543296.877,Samsung Pay,5
4187,McDonalds,6,5,3,4,3,4,4,4,4,4,3,4,4,3,3,Arizona,5262.171593,409094.2881,Debit Card,7
4187,Panera,6,4,5,5,5,4,4,4,6,4,4,5,5,5,5,Arkansas,3947.445047,904757.5451,Credit Card,9
4193,Jimmy Johns,6,6,5,4,7,5,4,5,7,7,4,6,7,6,7,California,6343.480265,456520.0167,Debit Card,13
4202,Jersey Mikes,7,6,6,6,6,7,6,6,5,5,6,6,6,7,7,Connecticut,6322.781188,802546.4665,Google Pay,5
4202,Jimmy Johns,6,5,5,6,6,7,5,7,5,7,7,5,7,6,6,Delaware,7611.457561,510590.085,Samsung Pay,15
4209,Firehouse Subs,3,6,5,6,5,5,5,4,5,5,4,5,6,5,6,Georgia,5530.934505,543101.4331,Google Pay,14
4209,Jersey Mikes,4,4,5,5,4,4,5,5,4,5,5,5,5,5,6,Hawaii,7593.118414,970812.5237,Apple Pay,9
4221,Firehouse Subs,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,Indiana,5175.721154,935574.3534,Google Pay,13
4221,Jimmy Johns,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,Iowa,5486.752363,453421.6936,Cash,5
4223,Firehouse Subs,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Kansas,5390.494154,376605.2147,Cash,15
4223,Panera,5,5,6,6,5,5,6,6,5,6,6,5,6,6,5,Kentucky,5084.222726,252236.9204,Cash,8
4225,Subway,6,7,5,5,7,7,7,4,7,5,6,6,7,7,6,Louisiana,9091.112959,601021.0922,Apple Pay,14
4237,Subway,5,2,6,5,5,3,2,2,6,5,6,5,5,5,7,Michigan,4719.30763,133301.5366,Credit Card,15
4237,McDonalds,4,3,2,3,4,5,5,5,4,6,6,2,2,2,1,Minnesota,1174.153808,740675.6735,Samsung Pay,12
4245,Jimmy Johns,3,3,3,4,3,4,3,4,4,3,4,4,3,3,4,Missouri,9420.989594,438980.9102,Debit Card,12
4246,Jersey Mikes,7,7,7,7,7,6,7,7,7,6,6,6,6,6,7,Montana,7126.695484,400934.9204,Debit Card,7
4246,Jimmy Johns,7,7,6,7,6,6,6,6,6,7,7,6,7,7,7,Nebraska,512.1231921,232369.325,Samsung Pay,10
4268,Subway,7,7,7,6,7,7,6,6,6,7,6,7,7,7,7,New York,5398.083856,581805.8155,Samsung Pay,9
4268,Chipotle,4,6,5,6,5,5,6,4,5,6,5,5,6,5,5,North Carolina,3096.018236,471323.5285,Cash,9
4301,Chipotle,6,6,6,7,7,7,7,5,7,7,7,7,7,7,3,Utah,8398.562272,895905.4913,Credit Card,6
4301,Firehouse Subs,6,6,7,6,7,6,5,5,7,5,6,6,7,7,5,Vermont,4795.364248,928660.1239,Debit Card,12
4306,Subway,7,6,6,7,7,5,5,5,7,5,6,6,6,6,6,Virginia,3380.83008,767227.3253,Google Pay,15
4306,Panera,6,4,5,4,5,3,3,6,4,5,5,5,5,4,6,Washington,3194.635686,772033.6672,Samsung Pay,10
4318,Subway,4,4,7,6,4,6,7,7,4,6,7,7,7,4,4,Alaska,1794.131502,637261.4045,Google Pay,7
4318,Chipotle,4,5,4,4,4,5,4,7,4,5,4,5,4,5,4,Arizona,573.4800102,894167.0284,Samsung Pay,15
4323,Firehouse Subs,6,6,6,6,7,6,6,7,6,6,7,6,7,7,7,Arkansas,9059.203656,857341.9689,Credit Card,14
4323,Jersey Mikes,6,7,6,7,7,6,6,6,7,7,6,7,7,7,7,California,7944.735983,686210.9536,Samsung Pay,13
4333,Subway,6,6,6,6,6,7,7,6,6,6,7,6,6,7,6,Colorado,3539.592065,167516.155,Google Pay,9
4333,Jimmy Johns,6,7,6,6,6,5,6,6,6,6,7,6,6,7,6,Connecticut,1082.811604,279444.7806,Debit Card,11
4338,McDonalds,7,7,6,7,7,7,7,6,6,6,7,5,7,6,6,Georgia,6330.973667,736732.0016,Debit Card,13
4340,Jimmy Johns,3,4,6,4,6,5,4,4,4,5,4,5,3,6,6,Hawaii,6285.639211,752934.0176,Debit Card,7
4340,Panera,4,3,5,3,6,4,6,3,4,6,6,4,4,5,3,Idaho,3743.777897,916110.1376,Debit Card,10
4344,Jersey Mikes,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,Illinois,1162.300399,242585.582,Apple Pay,14
4344,McDonalds,4,5,6,6,6,6,6,5,6,6,6,6,6,5,6,Indiana,1992.453285,143318.5779,Google Pay,14
4355,Chipotle,6,6,6,6,5,6,7,6,6,5,6,5,6,5,6,Iowa,3077.636312,550690.619,Apple Pay,6
4355,Firehouse Subs,6,6,7,7,6,7,7,6,7,7,5,4,6,5,6,Kansas,8761.285425,96983.04395,Credit Card,7
4360,McDonalds,6,5,2,5,4,4,3,5,3,4,3,4,4,3,3,Louisiana,2909.456685,666450.004,Cash,8
4368,Jersey Mikes,6,3,3,4,6,6,5,4,5,4,5,6,5,5,4,Massachusetts,3434.830282,909895.7051,Samsung Pay,5
4368,Jimmy Johns,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,Michigan,1856.333102,98995.2456,Cash,5
4380,Subway,7,6,6,6,6,7,7,6,7,6,7,6,5,7,7,Minnesota,4830.412207,662746.4458,Debit Card,6
4380,Firehouse Subs,7,7,7,5,7,7,7,6,5,7,7,5,5,4,6,Mississippi,5533.583255,567212.2326,Samsung Pay,5
4388,McDonalds,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,Missouri,561.6490963,407212.8992,Cash,11
4394,Subway,4,4,4,4,4,4,4,4,4,3,5,4,3,5,4,Montana,3653.394066,910830.3252,Credit Card,7
4394,Panera,5,4,5,5,5,5,5,3,4,4,5,4,5,4,4,Nebraska,3300.060057,367068.4445,Apple Pay,12
4413,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Nevada,2488.762692,80755.0564,Debit Card,12
4413,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,New Hampshire,5419.689167,833381.6452,Google Pay,9
4418,Subway,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,New Jersey,7400.987825,391910.6663,Cash,6
4418,McDonalds,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,New Mexico,9599.013111,996967.5977,Credit Card,6
4420,Chipotle,5,6,6,6,6,6,6,6,6,6,5,6,6,6,5,New York,7121.536746,654099.7044,Samsung Pay,8
4420,Jersey Mikes,6,6,5,6,6,6,6,6,6,6,6,5,5,5,5,North Carolina,5705.058382,911091.925,Debit Card,8
4455,Firehouse Subs,3,4,5,5,5,6,5,4,6,4,4,6,6,6,6,South Dakota,1684.59211,60359.82743,Samsung Pay,12
4463,Chipotle,5,6,5,4,5,4,5,4,6,4,5,4,5,4,6,Tennessee,5364.914566,801481.0913,Credit Card,10
4463,Firehouse Subs,6,5,4,4,4,5,4,4,5,6,5,5,5,4,4,Texas,184.857384,60633.25996,Apple Pay,12
4473,Firehouse Subs,5,5,6,5,6,6,6,5,6,5,6,5,5,5,6,Utah,5668.055519,561544.0193,Google Pay,12
4473,Jimmy Johns,6,6,6,5,6,6,6,4,6,6,6,5,6,6,5,Vermont,9078.478152,913033.8035,Apple Pay,13
4487,Jersey Mikes,3,4,4,5,4,4,4,3,4,3,5,4,3,3,4,West Virginia,1989.972807,639596.2525,Samsung Pay,8
4487,Panera,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Wisconsin,3740.264232,317518.7523,Google Pay,7
4496,Jersey Mikes,7,7,5,7,7,7,7,4,7,7,7,5,7,4,7,Arizona,5445.832681,348642.419,Cash,14
4497,Firehouse Subs,6,6,7,4,6,6,4,6,5,6,4,3,7,6,7,Arkansas,4377.938596,206770.7084,Credit Card,13
4497,Jersey Mikes,7,7,7,7,7,6,7,6,6,6,7,7,7,6,7,California,3577.748171,777902.3889,Google Pay,9
4515,Firehouse Subs,6,7,7,6,5,7,6,6,6,6,7,6,6,6,6,Colorado,3167.731266,584459.1048,Credit Card,9
4515,McDonalds,7,7,7,7,6,7,6,6,7,6,7,7,7,7,7,Connecticut,6446.361911,60295.03103,Samsung Pay,9
4521,Jersey Mikes,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,Georgia,4736.521368,975243.4966,Samsung Pay,12
4521,Jimmy Johns,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Hawaii,9540.792403,188778.1114,Cash,5
4531,McDonalds,6,4,4,5,5,5,5,4,5,5,7,7,6,6,4,Illinois,2972.482848,418036.0385,Samsung Pay,8
4532,Chipotle,7,7,6,6,6,6,7,6,6,6,6,6,7,6,7,Indiana,2153.820377,919118.0156,Apple Pay,7
4532,Jimmy Johns,7,6,6,6,6,6,6,6,7,6,6,6,7,6,7,Iowa,6509.160305,31245.42757,Debit Card,13
4533,Chipotle,5,6,5,7,4,5,6,5,6,5,5,5,4,5,6,Kansas,7001.635605,62729.99758,Debit Card,9
4533,Firehouse Subs,5,6,5,5,5,6,6,4,4,5,6,4,5,4,6,Kentucky,7367.536165,468171.029,Credit Card,7
4534,Chipotle,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,Louisiana,9900.454587,555844.2288,Cash,13
4534,Jimmy Johns,7,6,7,6,7,7,7,6,7,6,7,7,7,7,7,Maine,2856.896263,37384.62647,Google Pay,11
4540,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Maryland,5046.437141,982239.8732,Credit Card,10
4540,Panera,7,7,6,7,7,5,3,7,7,7,7,7,7,7,7,Massachusetts,7930.985654,779846.7111,Google Pay,13
4542,McDonalds,4,7,7,7,3,3,4,5,7,5,4,2,1,3,1,Minnesota,793.297243,319654.2842,Cash,8
4580,Chipotle,4,4,5,5,4,4,3,5,4,4,4,4,3,5,5,Montana,4681.115419,273013.9308,Google Pay,6
4580,Panera,6,5,6,6,3,4,4,4,5,5,5,4,5,5,6,Nebraska,460.5859714,173642.9007,Samsung Pay,9
4600,Firehouse Subs,6,5,4,7,5,6,3,3,4,5,3,5,7,4,5,Nevada,7133.216854,152334.2521,Samsung Pay,14
4600,McDonalds,6,6,5,5,6,4,4,6,7,6,5,5,4,5,7,New Hampshire,4372.962757,986721.9225,Google Pay,9
4605,Chipotle,5,3,5,3,5,3,3,4,3,4,5,6,5,6,1,New Jersey,1670.848171,681603.6948,Debit Card,7
4605,McDonalds,5,5,2,5,4,4,4,5,5,6,5,4,4,3,3,New Mexico,42.9292158,576376.2988,Credit Card,9
4612,McDonalds,6,5,4,4,6,6,5,7,7,7,3,6,6,3,6,New York,3872.384855,35452.88612,Google Pay,5
4612,Panera,4,6,6,6,6,5,5,4,4,4,6,6,6,6,7,North Carolina,1665.659765,20853.35994,Debit Card,6
4618,Subway,6,4,7,4,4,6,4,5,6,5,5,6,7,6,5,North Dakota,7742.74639,722548.1725,Debit Card,5
4618,McDonalds,5,6,5,6,3,6,5,7,6,5,7,6,6,5,6,Ohio,4114.587337,61586.82678,Samsung Pay,6
4629,Subway,4,4,5,6,5,6,6,5,6,3,5,4,5,5,6,Oklahoma,8140.139183,713055.2831,Credit Card,11
4636,Jersey Mikes,7,7,7,7,7,5,5,5,7,7,7,7,7,7,7,Rhode Island,6971.832061,477072.4403,Samsung Pay,8
4661,Subway,7,7,7,6,6,7,7,6,7,6,7,7,7,7,6,Utah,68.17133277,385662.2189,Apple Pay,10
4661,McDonalds,7,6,6,7,6,7,6,7,7,6,5,6,6,6,6,Vermont,3095.715749,477736.4649,Debit Card,6
4663,Jersey Mikes,6,7,6,6,7,7,6,6,6,7,6,6,7,6,6,Virginia,6314.970237,382262.2861,Credit Card,11
4663,Jimmy Johns,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,Washington,7747.588763,93060.07157,Credit Card,8
4672,Firehouse Subs,4,5,4,5,5,4,4,5,5,4,5,4,4,4,4,Wyoming,6179.407744,892380.1257,Debit Card,15
4672,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Alabama,9464.911084,990752.3863,Cash,5
4690,Subway,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Arkansas,6914.31569,828231.6217,Samsung Pay,5
4690,Jimmy Johns,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,California,4369.243595,503520.1335,Debit Card,13
4699,Chipotle,7,3,6,3,7,4,4,1,7,5,7,7,7,7,7,Colorado,346.5707311,307385.4064,Cash,6
4709,Subway,2,3,2,2,4,5,2,2,3,3,2,4,3,4,3,Delaware,5721.091586,80515.48699,Cash,15
4709,Jimmy Johns,5,5,4,4,3,4,4,5,5,3,4,5,3,4,3,Florida,6724.677902,349213.2709,Samsung Pay,13
4733,Subway,7,7,7,7,7,7,7,6,7,5,7,7,7,7,7,Idaho,7495.712573,248499.488,Debit Card,7
4740,Firehouse Subs,6,7,7,6,6,7,7,6,7,7,7,7,5,5,7,Indiana,6873.702117,563665.1541,Apple Pay,12
4740,Jersey Mikes,6,6,5,7,6,7,7,6,7,6,7,6,6,6,7,Iowa,7524.531166,533664.7908,Google Pay,10
4746,Firehouse Subs,6,7,5,5,5,6,6,7,7,6,6,6,6,6,6,Kansas,4994.725815,292793.8437,Debit Card,15
4746,Jimmy Johns,6,6,5,6,6,7,5,7,5,7,7,7,6,5,7,Kentucky,2431.875823,296586.2636,Cash,7
4755,Subway,5,4,6,6,7,4,5,4,6,2,6,6,4,5,7,Louisiana,6231.307656,691864.8971,Cash,14
4755,Chipotle,3,3,3,3,4,3,4,2,2,3,5,4,3,5,4,Maine,6242.850799,102808.5322,Cash,9
4760,Jersey Mikes,5,6,5,7,6,7,5,6,5,7,5,7,7,7,7,Maryland,9459.354112,839374.2376,Samsung Pay,9
4760,Panera,3,5,5,7,5,5,5,5,6,7,5,7,7,5,6,Massachusetts,8884.457912,568620.6872,Debit Card,13
4770,Firehouse Subs,7,7,5,6,7,7,6,4,7,6,6,7,7,6,7,Montana,5232.164155,719930.5426,Google Pay,8
4770,Jersey Mikes,6,7,6,7,7,7,7,6,7,6,6,7,7,7,6,Nebraska,3919.809762,300941.9876,Debit Card,13
4776,Firehouse Subs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Nevada,5883.334719,693675.7485,Cash,7
4776,Jersey Mikes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,New Hampshire,6933.907929,129093.9971,Cash,8
4787,Subway,5,5,5,5,6,5,6,5,5,4,4,5,4,6,6,New Jersey,3769.180934,984610.4472,Google Pay,8
4787,Firehouse Subs,5,6,4,5,5,3,3,3,5,4,4,5,5,5,5,New Mexico,2973.554629,593001.0467,Google Pay,10
4790,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,North Dakota,2073.498799,475017.4708,Credit Card,5
4799,Chipotle,6,5,5,5,6,6,6,5,6,6,6,5,6,6,6,Oklahoma,7680.182889,694450.3203,Apple Pay,5
4799,Jimmy Johns,5,6,5,6,5,4,4,5,6,5,6,6,5,5,5,Oregon,6223.960764,942945.4639,Apple Pay,6
4812,McDonalds,6,6,3,5,5,5,4,4,4,6,5,5,5,4,4,Pennsylvania,5.20015693,241935.4214,Samsung Pay,9
4812,Panera,5,6,6,6,5,6,6,4,6,6,6,6,6,6,5,Rhode Island,5206.382532,452638.1671,Samsung Pay,13
4821,Subway,6,5,5,6,6,6,7,5,6,5,4,6,6,7,6,South Carolina,3292.152526,385972.9803,Cash,11
4821,Chipotle,5,5,6,6,5,5,6,6,6,6,5,5,6,5,5,South Dakota,7368.008862,957008.5892,Debit Card,12
4822,Firehouse Subs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Tennessee,426.0014329,254715.9122,Cash,9
4822,Jimmy Johns,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,Texas,2603.068723,308730.9949,Apple Pay,9
4824,Chipotle,4,4,7,6,4,4,5,6,7,7,4,5,3,5,7,Utah,8127.028152,444171.952,Apple Pay,8
4824,Jersey Mikes,4,5,4,4,7,3,5,2,7,4,7,5,1,7,4,Vermont,6606.472545,816816.6063,Credit Card,12
4829,Subway,5,6,6,6,5,5,5,5,5,6,5,5,5,5,6,Virginia,8454.855309,336773.3207,Cash,12
4829,Panera,5,6,6,6,6,6,6,6,5,7,5,6,4,6,6,Washington,3108.5486,611704.0613,Google Pay,14
4840,Jersey Mikes,4,5,6,6,6,6,5,6,6,6,7,6,6,6,6,West Virginia,5990.113474,432791.2491,Credit Card,7
4840,Panera,4,5,5,5,5,5,5,5,5,5,6,6,5,5,5,Wisconsin,9348.297441,267189.9508,Debit Card,5
4843,Chipotle,3,2,2,3,4,3,3,2,2,3,4,4,3,4,4,Wyoming,3897.741626,807339.6068,Samsung Pay,13
4843,McDonalds,6,3,2,3,4,3,3,4,3,2,3,3,4,3,4,Alabama,7664.056662,987607.1536,Debit Card,6
4845,Firehouse Subs,7,6,7,6,6,6,6,6,6,7,6,7,7,6,6,Alaska,6597.089481,50588.14992,Samsung Pay,8
4845,Jimmy Johns,1,2,2,2,1,3,1,2,3,2,1,3,2,2,2,Arizona,8072.338679,909056.4569,Samsung Pay,12
4879,Subway,7,6,7,7,7,6,5,5,7,7,7,7,7,7,7,Colorado,8040.629194,782213.3773,Google Pay,6
4879,Jimmy Johns,7,6,7,7,7,6,6,5,7,6,7,7,7,7,7,Connecticut,1603.200878,556911.2162,Debit Card,13
4888,McDonalds,4,5,5,5,6,4,5,5,5,5,5,6,6,5,5,Delaware,9138.365034,830808.497,Credit Card,13
4908,Subway,3,6,5,6,6,5,4,4,5,5,2,6,5,5,6,Illinois,6548.221899,834357.2144,Credit Card,14
4908,Jimmy Johns,4,4,4,5,5,4,4,3,5,6,5,5,5,5,6,Indiana,4735.334132,128596.4527,Apple Pay,14
4916,Jersey Mikes,3,5,4,4,2,4,3,4,5,4,4,4,4,3,5,Iowa,4915.095726,258098.0911,Apple Pay,5
4916,McDonalds,4,4,4,5,4,5,4,4,5,2,5,5,4,4,4,Kansas,7616.252519,844682.5163,Cash,13
4920,Chipotle,5,5,5,4,5,4,6,7,6,7,6,6,5,6,5,Kentucky,3487.875705,30928.28215,Cash,10
4920,Jersey Mikes,5,5,4,5,3,5,6,6,6,5,5,4,6,5,5,Louisiana,9920.340677,498914.5145,Credit Card,15
4928,Subway,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,Maine,9559.289854,505819.0087,Credit Card,15
4928,McDonalds,5,6,5,5,6,5,5,6,6,5,5,5,5,5,5,Maryland,6089.789362,911498.4068,Debit Card,14
4966,Firehouse Subs,5,7,6,6,7,7,6,5,6,6,6,6,6,5,7,Nebraska,7535.105248,70002.5675,Credit Card,9
